Indicator,Year,Geography,FIPS,Cases,Rate per 100000
HIV diagnoses,2022,"Dawson County, TX",48115,Data suppressed,Data suppressed
HIV diagnoses,2022,"Day County, SD",46037,0,0
HIV diagnoses,2022,"De Baca County, NM",35011,0,0
HIV diagnoses,2022,"De Soto Parish, LA",22031,6,26.8
HIV diagnoses,2022,"De Witt County, IL",17039,0,0
HIV diagnoses,2022,"Deaf Smith County, TX",48117,Data suppressed,Data suppressed
HIV diagnoses,2022,"Dearborn County, IN",18029,0,0
HIV diagnoses,2022,"Decatur County, GA",13087,6,25
HIV diagnoses,2022,"Decatur County, IA",19053,Data suppressed,Data suppressed
HIV diagnoses,2022,"Decatur County, IN",18031,0,0
HIV diagnoses,2022,"Decatur County, KS",20039,0,0
HIV diagnoses,2022,"Decatur County, TN",47039,Data suppressed,Data suppressed
HIV diagnoses,2022,"Deer Lodge County, MT",30023,0,0
HIV diagnoses,2022,"Defiance County, OH",39039,Data suppressed,Data suppressed
HIV diagnoses,2022,"Dekalb County, AL",01049,Data suppressed,Data suppressed
HIV diagnoses,2022,"Dekalb County, GA",13089,357,56.1
HIV diagnoses,2022,"Dekalb County, IL",17037,Data suppressed,Data suppressed
HIV diagnoses,2022,"Dekalb County, IN",18033,0,0
HIV diagnoses,2022,"Dekalb County, MO",29063,0,0
HIV diagnoses,2022,"Dekalb County, TN",47041,Data suppressed,Data suppressed
HIV diagnoses,2022,"Del Norte County, CA",06015,Data suppressed,Data suppressed
HIV diagnoses,2022,"Delaware County, IA",19055,0,0
HIV diagnoses,2022,"Delaware County, IN",18035,Data suppressed,Data suppressed
HIV diagnoses,2022,"Delaware County, NY",36025,Data suppressed,Data suppressed
HIV diagnoses,2022,"Delaware County, OH",39041,5,2.7
HIV diagnoses,2022,"Delaware County, OK",40041,0,0
HIV diagnoses,2022,"Delaware County, PA",42045,47,9.7
HIV diagnoses,2022,"Delta County, CO",08029,Data suppressed,Data suppressed
HIV diagnoses,2022,"Delta County, MI",26041,Data suppressed,Data suppressed
HIV diagnoses,2022,"Delta County, TX",48119,0,0
HIV diagnoses,2022,"Denali Borough, AK",02068,Data suppressed,Data suppressed
HIV diagnoses,2022,"Dent County, MO",29065,0,0
HIV diagnoses,2022,"Denton County, TX",48121,89,10.9
HIV diagnoses,2022,"Denver County, CO",08031,114,18.4
HIV diagnoses,2022,"Des Moines County, IA",19057,Data suppressed,Data suppressed
HIV diagnoses,2022,"Deschutes County, OR",41017,Data suppressed,Data suppressed
HIV diagnoses,2022,"Desha County, AR",05041,Data suppressed,Data suppressed
HIV diagnoses,2022,"Desoto County, FL",12027,Data suppressed,Data suppressed
HIV diagnoses,2022,"Desoto County, MS",28033,33,20.8
HIV diagnoses,2022,"Deuel County, NE",31049,0,0
HIV diagnoses,2022,"Deuel County, SD",46039,0,0
HIV diagnoses,2022,"Dewey County, OK",40043,Data suppressed,Data suppressed
HIV diagnoses,2022,"Dewey County, SD",46041,11,297.8
HIV diagnoses,2022,"Dewitt County, TX",48123,0,0
HIV diagnoses,2022,"Dickens County, TX",48125,0,0
HIV diagnoses,2022,"Dickenson County, VA",51051,0,0
HIV diagnoses,2022,"Dickey County, ND",38021,0,0
HIV diagnoses,2022,"Dickinson County, IA",19059,Data suppressed,Data suppressed
HIV diagnoses,2022,"Dickinson County, KS",20041,0,0
HIV diagnoses,2022,"Dickinson County, MI",26043,0,0
HIV diagnoses,2022,"Dickson County, TN",47043,6,12.8
HIV diagnoses,2022,"Dillingham Census Area, AK",02070,Data suppressed,Data suppressed
HIV diagnoses,2022,"Dillon County, SC",45033,7,30.7
HIV diagnoses,2022,"Dimmit County, TX",48127,Data suppressed,Data suppressed
HIV diagnoses,2022,"Dinwiddie County, VA",51053,Data suppressed,Data suppressed
HIV diagnoses,2022,"District of Columbia, DC",11001,214,37.3
HIV diagnoses,2022,"Divide County, ND",38023,0,0
HIV diagnoses,2022,"Dixie County, FL",12029,0,0
HIV diagnoses,2022,"Dixon County, NE",31051,0,0
HIV diagnoses,2022,"Doddridge County, WV",54017,0,0
HIV diagnoses,2022,"Dodge County, GA",13091,Data suppressed,Data suppressed
HIV diagnoses,2022,"Dodge County, MN",27039,0,0
HIV diagnoses,2022,"Dodge County, NE",31053,0,0
HIV diagnoses,2022,"Dodge County, WI",55027,Data suppressed,Data suppressed
HIV diagnoses,2022,"Dolores County, CO",08033,0,0
HIV diagnoses,2022,"Doniphan County, KS",20043,Data suppressed,Data suppressed
HIV diagnoses,2022,"Donley County, TX",48129,0,0
HIV diagnoses,2022,"Dooly County, GA",13093,Data suppressed,Data suppressed
HIV diagnoses,2022,"Door County, WI",55029,0,0
HIV diagnoses,2022,"Dorado Municipio, PR",72051,Data suppressed,Data suppressed
HIV diagnoses,2022,"Dorchester County, MD",24019,Data suppressed,Data suppressed
HIV diagnoses,2022,"Dorchester County, SC",45035,29,21
HIV diagnoses,2022,"Dougherty County, GA",13095,37,53.9
HIV diagnoses,2022,"Douglas County, CO",08035,15,4.7
HIV diagnoses,2022,"Douglas County, GA",13097,34,27.8
HIV diagnoses,2022,"Douglas County, IL",17041,Data suppressed,Data suppressed
HIV diagnoses,2022,"Douglas County, KS",20045,Data suppressed,Data suppressed
HIV diagnoses,2022,"Douglas County, MN",27041,0,0
HIV diagnoses,2022,"Douglas County, MO",29067,0,0
HIV diagnoses,2022,"Douglas County, NE",31055,44,9.2
HIV diagnoses,2022,"Douglas County, NV",32005,Data suppressed,Data suppressed
HIV diagnoses,2022,"Douglas County, OR",41019,Data suppressed,Data suppressed
HIV diagnoses,2022,"Douglas County, SD",46043,0,0
HIV diagnoses,2022,"Douglas County, WA",53017,0,0
HIV diagnoses,2022,"Douglas County, WI",55031,Data suppressed,Data suppressed
HIV diagnoses,2022,"Doña Ana County, NM",35013,16,8.5
HIV diagnoses,2022,"Drew County, AR",05043,Data suppressed,Data suppressed
HIV diagnoses,2022,"Dubois County, IN",18037,0,0
HIV diagnoses,2022,"Dubuque County, IA",19061,Data suppressed,Data suppressed
HIV diagnoses,2022,"Duchesne County, UT",49013,0,0
HIV diagnoses,2022,"Dukes County, MA",25007,0,0
HIV diagnoses,2022,"Dundy County, NE",31057,0,0
HIV diagnoses,2022,"Dunklin County, MO",29069,Data suppressed,Data suppressed
HIV diagnoses,2022,"Dunn County, ND",38025,0,0
HIV diagnoses,2022,"Dunn County, WI",55033,Data suppressed,Data suppressed
HIV diagnoses,2022,"Dupage County, IL",17043,46,5.9
HIV diagnoses,2022,"Duplin County, NC",37061,5,12.3
HIV diagnoses,2022,"Durham County, NC",37063,65,22.8
HIV diagnoses,2022,"Dutchess County, NY",36027,10,3.8
HIV diagnoses,2022,"Duval County, FL",12031,281,33
HIV diagnoses,2022,"Duval County, TX",48131,Data suppressed,Data suppressed
HIV diagnoses,2022,"Dyer County, TN",47045,Data suppressed,Data suppressed
HIV diagnoses,2022,"Eagle County, CO",08037,Data suppressed,Data suppressed
HIV diagnoses,2022,"Early County, GA",13099,5,56.9
HIV diagnoses,2022,"East Baton Rouge Parish, LA",22033,131,34.7
HIV diagnoses,2022,"East Carroll Parish, LA",22035,Data suppressed,Data suppressed
HIV diagnoses,2022,"East Feliciana Parish, LA",22037,Data suppressed,Data suppressed
HIV diagnoses,2022,"Eastland County, TX",48133,Data suppressed,Data suppressed
HIV diagnoses,2022,"Eaton County, MI",26045,Data suppressed,Data suppressed
HIV diagnoses,2022,"Eau Claire County, WI",55035,Data suppressed,Data suppressed
HIV diagnoses,2022,"Echols County, GA",13101,0,0
HIV diagnoses,2022,"Ector County, TX",48135,31,24.7
HIV diagnoses,2022,"Eddy County, ND",38027,0,0
HIV diagnoses,2022,"Eddy County, NM",35015,5,10.2
HIV diagnoses,2022,"Edgar County, IL",17045,0,0
HIV diagnoses,2022,"Edgecombe County, NC",37065,11,27
HIV diagnoses,2022,"Edgefield County, SC",45037,8,33.5
HIV diagnoses,2022,"Edmonson County, KY",21061,Data suppressed,Data suppressed
HIV diagnoses,2022,"Edmunds County, SD",46045,0,0
HIV diagnoses,2022,"Edwards County, IL",17047,0,0
HIV diagnoses,2022,"Edwards County, KS",20047,0,0
HIV diagnoses,2022,"Edwards County, TX",48137,0,0
HIV diagnoses,2022,"Effingham County, GA",13103,11,19.6
HIV diagnoses,2022,"Effingham County, IL",17049,Data suppressed,Data suppressed
HIV diagnoses,2022,"El Dorado County, CA",06017,6,3.6
HIV diagnoses,2022,"El Paso County, CO",08041,67,10.8
HIV diagnoses,2022,"El Paso County, TX",48141,128,18.1
HIV diagnoses,2022,"Elbert County, CO",08039,0,0
HIV diagnoses,2022,"Elbert County, GA",13105,Data suppressed,Data suppressed
HIV diagnoses,2022,"Elk County, KS",20049,0,0
HIV diagnoses,2022,"Elk County, PA",42047,0,0
HIV diagnoses,2022,"Elkhart County, IN",18039,20,12
HIV diagnoses,2022,"Elko County, NV",32007,Data suppressed,Data suppressed
HIV diagnoses,2022,"Elliott County, KY",21063,0,0
HIV diagnoses,2022,"Ellis County, KS",20051,Data suppressed,Data suppressed
HIV diagnoses,2022,"Ellis County, OK",40045,0,0
HIV diagnoses,2022,"Ellis County, TX",48139,11,6.3
HIV diagnoses,2022,"Ellsworth County, KS",20053,0,0
HIV diagnoses,2022,"Elmore County, AL",01051,16,21
HIV diagnoses,2022,"Elmore County, ID",16039,0,0
HIV diagnoses,2022,"Emanuel County, GA",13107,Data suppressed,Data suppressed
HIV diagnoses,2022,"Emery County, UT",49015,0,0
HIV diagnoses,2022,"Emmet County, IA",19063,0,0
HIV diagnoses,2022,"Emmet County, MI",26047,Data suppressed,Data suppressed
HIV diagnoses,2022,"Emmons County, ND",38029,0,0
HIV diagnoses,2022,"Emporia City, VA",51595,Data suppressed,Data suppressed
HIV diagnoses,2022,"Erath County, TX",48143,Data suppressed,Data suppressed
HIV diagnoses,2022,"Erie County, NY",36029,64,7.9
HIV diagnoses,2022,"Erie County, OH",39043,Data suppressed,Data suppressed
HIV diagnoses,2022,"Erie County, PA",42049,12,5.2
HIV diagnoses,2022,"Escambia County, AL",01053,Data suppressed,Data suppressed
HIV diagnoses,2022,"Escambia County, FL",12033,55,20
HIV diagnoses,2022,"Esmeralda County, NV",32009,0,0
HIV diagnoses,2022,"Essex County, MA",25009,41,5.9
HIV diagnoses,2022,"Essex County, NJ",34013,223,31.5
HIV diagnoses,2022,"Essex County, NY",36031,0,0
HIV diagnoses,2022,"Essex County, VA",51057,0,0
HIV diagnoses,2022,"Essex County, VT",50009,0,0
HIV diagnoses,2022,"Estill County, KY",21065,Data suppressed,Data suppressed
HIV diagnoses,2022,"Etowah County, AL",01055,8,9.2
HIV diagnoses,2022,"Eureka County, NV",32011,0,0
HIV diagnoses,2022,"Evangeline Parish, LA",22039,12,45.7
HIV diagnoses,2022,"Evans County, GA",13109,Data suppressed,Data suppressed
HIV diagnoses,2022,"Fairbanks North Star Borough, AK",02090,Data suppressed,Data suppressed
HIV diagnoses,2022,"Fairfax City, VA",51600,0,0
HIV diagnoses,2022,"Fairfax County, VA",51059,65,6.8
HIV diagnoses,2022,"Fairfield County, CT",09001,Data not available,Data not available
HIV diagnoses,2022,"Fairfield County, OH",39045,6,4.4
HIV diagnoses,2022,"Fairfield County, SC",45039,Data suppressed,Data suppressed
HIV diagnoses,2022,"Fajardo Municipio, PR",72053,Data suppressed,Data suppressed
HIV diagnoses,2022,"Fall River County, SD",46047,0,0
HIV diagnoses,2022,"Fallon County, MT",30025,0,0
HIV diagnoses,2022,"Falls Church City, VA",51610,0,0
HIV diagnoses,2022,"Falls County, TX",48145,Data suppressed,Data suppressed
HIV diagnoses,2022,"Fannin County, GA",13111,0,0
HIV diagnoses,2022,"Fannin County, TX",48147,Data suppressed,Data suppressed
HIV diagnoses,2022,"Faribault County, MN",27043,0,0
HIV diagnoses,2022,"Faulk County, SD",46049,0,0
HIV diagnoses,2022,"Faulkner County, AR",05045,17,15.8
HIV diagnoses,2022,"Fauquier County, VA",51061,Data suppressed,Data suppressed
HIV diagnoses,2022,"Fayette County, AL",01057,0,0
HIV diagnoses,2022,"Fayette County, GA",13113,10,9.6
HIV diagnoses,2022,"Fayette County, IA",19065,0,0
HIV diagnoses,2022,"Fayette County, IL",17051,Data suppressed,Data suppressed
HIV diagnoses,2022,"Fayette County, IN",18041,Data suppressed,Data suppressed
HIV diagnoses,2022,"Fayette County, KY",21067,52,19.1
HIV diagnoses,2022,"Fayette County, OH",39047,Data suppressed,Data suppressed
HIV diagnoses,2022,"Fayette County, PA",42051,Data suppressed,Data suppressed
HIV diagnoses,2022,"Fayette County, TN",47047,7,18.4
HIV diagnoses,2022,"Fayette County, TX",48149,Data suppressed,Data suppressed
HIV diagnoses,2022,"Fayette County, WV",54019,0,0
HIV diagnoses,2022,"Fentress County, TN",47049,0,0
HIV diagnoses,2022,"Fergus County, MT",30027,0,0
HIV diagnoses,2022,"Ferry County, WA",53019,Data suppressed,Data suppressed
HIV diagnoses,2022,"Fillmore County, MN",27045,0,0
HIV diagnoses,2022,"Fillmore County, NE",31059,0,0
HIV diagnoses,2022,"Finney County, KS",20055,Data suppressed,Data suppressed
HIV diagnoses,2022,"Fisher County, TX",48151,0,0
HIV diagnoses,2022,"Flagler County, FL",12035,10,8.9
HIV diagnoses,2022,"Flathead County, MT",30029,0,0
HIV diagnoses,2022,"Fleming County, KY",21069,0,0
HIV diagnoses,2022,"Florence County, SC",45041,24,21
HIV diagnoses,2022,"Florence County, WI",55037,0,0
HIV diagnoses,2022,"Florida Municipio, PR",72054,Data suppressed,Data suppressed
HIV diagnoses,2022,"Floyd County, GA",13115,11,13.1
HIV diagnoses,2022,"Floyd County, IA",19067,Data suppressed,Data suppressed
HIV diagnoses,2022,"Floyd County, IN",18043,8,11.8
HIV diagnoses,2022,"Floyd County, KY",21071,Data suppressed,Data suppressed
HIV diagnoses,2022,"Floyd County, TX",48153,0,0
HIV diagnoses,2022,"Floyd County, VA",51063,0,0
HIV diagnoses,2022,"Fluvanna County, VA",51065,Data suppressed,Data suppressed
HIV diagnoses,2022,"Foard County, TX",48155,0,0
HIV diagnoses,2022,"Fond Du Lac County, WI",55039,5,5.6
HIV diagnoses,2022,"Ford County, IL",17053,0,0
HIV diagnoses,2022,"Ford County, KS",20057,Data suppressed,Data suppressed
HIV diagnoses,2022,"Forest County, PA",42053,0,0
HIV diagnoses,2022,"Forest County, WI",55041,0,0
HIV diagnoses,2022,"Forrest County, MS",28035,22,33.7
HIV diagnoses,2022,"Forsyth County, GA",13117,16,7.2
HIV diagnoses,2022,"Forsyth County, NC",37067,74,22.5
HIV diagnoses,2022,"Fort Bend County, TX",48157,85,11.7
HIV diagnoses,2022,"Foster County, ND",38031,0,0
HIV diagnoses,2022,"Fountain County, IN",18045,0,0
HIV diagnoses,2022,"Franklin City, VA",51620,0,0
HIV diagnoses,2022,"Franklin County, AL",01059,Data suppressed,Data suppressed
HIV diagnoses,2022,"Franklin County, AR",05047,0,0
HIV diagnoses,2022,"Franklin County, FL",12037,Data suppressed,Data suppressed
HIV diagnoses,2022,"Franklin County, GA",13119,Data suppressed,Data suppressed
HIV diagnoses,2022,"Franklin County, IA",19069,0,0
HIV diagnoses,2022,"Franklin County, ID",16041,0,0
HIV diagnoses,2022,"Franklin County, IL",17055,Data suppressed,Data suppressed
HIV diagnoses,2022,"Franklin County, IN",18047,0,0
HIV diagnoses,2022,"Franklin County, KS",20059,0,0
HIV diagnoses,2022,"Franklin County, KY",21073,5,11.4
HIV diagnoses,2022,"Franklin County, MA",25011,Data suppressed,Data suppressed
HIV diagnoses,2022,"Franklin County, ME",23007,Data suppressed,Data suppressed
HIV diagnoses,2022,"Franklin County, MO",29071,Data suppressed,Data suppressed
HIV diagnoses,2022,"Franklin County, MS",28037,0,0
HIV diagnoses,2022,"Franklin County, NC",37069,7,11.1
HIV diagnoses,2022,"Franklin County, NE",31061,0,0
HIV diagnoses,2022,"Franklin County, NY",36033,Data suppressed,Data suppressed
HIV diagnoses,2022,"Franklin County, OH",39049,193,17.6
HIV diagnoses,2022,"Franklin County, PA",42055,8,6
HIV diagnoses,2022,"Franklin County, TN",47051,Data suppressed,Data suppressed
HIV diagnoses,2022,"Franklin County, TX",48159,0,0
HIV diagnoses,2022,"Franklin County, VA",51067,Data suppressed,Data suppressed
HIV diagnoses,2022,"Franklin County, VT",50011,0,0
HIV diagnoses,2022,"Franklin County, WA",53021,5,6.5
HIV diagnoses,2022,"Franklin Parish, LA",22041,5,31.4
HIV diagnoses,2022,"Frederick County, MD",24021,13,5.4
HIV diagnoses,2022,"Frederick County, VA",51069,Data suppressed,Data suppressed
HIV diagnoses,2022,"Fredericksburg City, VA",51630,Data suppressed,Data suppressed
HIV diagnoses,2022,"Freeborn County, MN",27047,0,0
HIV diagnoses,2022,"Freestone County, TX",48161,Data suppressed,Data suppressed
HIV diagnoses,2022,"Fremont County, CO",08043,Data suppressed,Data suppressed
HIV diagnoses,2022,"Fremont County, IA",19071,0,0
HIV diagnoses,2022,"Fremont County, ID",16043,0,0
HIV diagnoses,2022,"Fremont County, WY",56013,0,0
HIV diagnoses,2022,"Fresno County, CA",06019,171,20.9
HIV diagnoses,2022,"Frio County, TX",48163,17,116.1
HIV diagnoses,2022,"Frontier County, NE",31063,0,0
HIV diagnoses,2022,"Fulton County, AR",05049,0,0
HIV diagnoses,2022,"Fulton County, GA",13121,504,54.9
HIV diagnoses,2022,"Fulton County, IL",17057,Data suppressed,Data suppressed
HIV diagnoses,2022,"Fulton County, IN",18049,0,0
HIV diagnoses,2022,"Fulton County, KY",21075,0,0
HIV diagnoses,2022,"Fulton County, NY",36035,Data suppressed,Data suppressed
HIV diagnoses,2022,"Fulton County, OH",39051,Data suppressed,Data suppressed
HIV diagnoses,2022,"Fulton County, PA",42057,Data suppressed,Data suppressed
HIV diagnoses,2022,"Furnas County, NE",31065,0,0
HIV diagnoses,2022,"Gadsden County, FL",12039,17,46.3
HIV diagnoses,2022,"Gage County, NE",31067,0,0
HIV diagnoses,2022,"Gaines County, TX",48165,Data suppressed,Data suppressed
HIV diagnoses,2022,"Galax City, VA",51640,0,0
HIV diagnoses,2022,"Gallatin County, IL",17059,0,0
HIV diagnoses,2022,"Gallatin County, KY",21077,0,0
HIV diagnoses,2022,"Gallatin County, MT",30031,Data suppressed,Data suppressed
HIV diagnoses,2022,"Gallia County, OH",39053,0,0
HIV diagnoses,2022,"Galveston County, TX",48167,50,16.7
HIV diagnoses,2022,"Garden County, NE",31069,0,0
HIV diagnoses,2022,"Garfield County, CO",08045,Data suppressed,Data suppressed
HIV diagnoses,2022,"Garfield County, MT",30033,0,0
HIV diagnoses,2022,"Garfield County, NE",31071,Data suppressed,Data suppressed
HIV diagnoses,2022,"Garfield County, OK",40047,0,0
HIV diagnoses,2022,"Garfield County, UT",49017,0,0
HIV diagnoses,2022,"Garfield County, WA",53023,0,0
HIV diagnoses,2022,"Garland County, AR",05051,Data suppressed,Data suppressed
HIV diagnoses,2022,"Garrard County, KY",21079,0,0
HIV diagnoses,2022,"Garrett County, MD",24023,0,0
HIV diagnoses,2022,"Garvin County, OK",40049,0,0
HIV diagnoses,2022,"Garza County, TX",48169,Data suppressed,Data suppressed
HIV diagnoses,2022,"Gasconade County, MO",29073,0,0
HIV diagnoses,2022,"Gaston County, NC",37071,36,18.3
HIV diagnoses,2022,"Gates County, NC",37073,0,0
HIV diagnoses,2022,"Geary County, KS",20061,Data suppressed,Data suppressed
HIV diagnoses,2022,"Geauga County, OH",39055,Data suppressed,Data suppressed
HIV diagnoses,2022,"Gem County, ID",16045,0,0
HIV diagnoses,2022,"Genesee County, MI",26049,20,5.9
HIV diagnoses,2022,"Genesee County, NY",36037,Data suppressed,Data suppressed
HIV diagnoses,2022,"Geneva County, AL",01061,Data suppressed,Data suppressed
HIV diagnoses,2022,"Gentry County, MO",29075,0,0
HIV diagnoses,2022,"George County, MS",28039,Data suppressed,Data suppressed
HIV diagnoses,2022,"Georgetown County, SC",45043,6,10.5
HIV diagnoses,2022,"Gibson County, IN",18051,0,0
HIV diagnoses,2022,"Gibson County, TN",47053,Data suppressed,Data suppressed
HIV diagnoses,2022,"Gila County, AZ",04007,0,0
HIV diagnoses,2022,"Gilchrist County, FL",12041,0,0
HIV diagnoses,2022,"Giles County, TN",47055,Data suppressed,Data suppressed
HIV diagnoses,2022,"Giles County, VA",51071,0,0
HIV diagnoses,2022,"Gillespie County, TX",48171,Data suppressed,Data suppressed
HIV diagnoses,2022,"Gilliam County, OR",41021,0,0
HIV diagnoses,2022,"Gilmer County, GA",13123,0,0
HIV diagnoses,2022,"Gilmer County, WV",54021,0,0
HIV diagnoses,2022,"Gilpin County, CO",08047,0,0
HIV diagnoses,2022,"Glacier County, MT",30035,0,0
HIV diagnoses,2022,"Glades County, FL",12043,Data suppressed,Data suppressed
HIV diagnoses,2022,"Gladwin County, MI",26051,0,0
HIV diagnoses,2022,"Glascock County, GA",13125,0,0
HIV diagnoses,2022,"Glasscock County, TX",48173,0,0
HIV diagnoses,2022,"Glenn County, CA",06021,0,0
HIV diagnoses,2022,"Gloucester County, NJ",34015,13,5
HIV diagnoses,2022,"Gloucester County, VA",51073,0,0
HIV diagnoses,2022,"Glynn County, GA",13127,15,20.6
HIV diagnoses,2022,"Gogebic County, MI",26053,0,0
HIV diagnoses,2022,"Golden Valley County, MT",30037,Data suppressed,Data suppressed
HIV diagnoses,2022,"Golden Valley County, ND",38033,0,0
HIV diagnoses,2022,"Goliad County, TX",48175,0,0
HIV diagnoses,2022,"Gonzales County, TX",48177,5,31
HIV diagnoses,2022,"Goochland County, VA",51075,Data suppressed,Data suppressed
HIV diagnoses,2022,"Goodhue County, MN",27049,Data suppressed,Data suppressed
HIV diagnoses,2022,"Gooding County, ID",16047,0,0
HIV diagnoses,2022,"Gordon County, GA",13129,Data suppressed,Data suppressed
HIV diagnoses,2022,"Goshen County, WY",56015,Data suppressed,Data suppressed
HIV diagnoses,2022,"Gosper County, NE",31073,0,0
HIV diagnoses,2022,"Gove County, KS",20063,0,0
HIV diagnoses,2022,"Grady County, GA",13131,Data suppressed,Data suppressed
HIV diagnoses,2022,"Grady County, OK",40051,Data suppressed,Data suppressed
HIV diagnoses,2022,"Grafton County, NH",33009,Data suppressed,Data suppressed
HIV diagnoses,2022,"Graham County, AZ",04009,Data suppressed,Data suppressed
HIV diagnoses,2022,"Graham County, KS",20065,0,0
HIV diagnoses,2022,"Graham County, NC",37075,0,0
HIV diagnoses,2022,"Grainger County, TN",47057,0,0
HIV diagnoses,2022,"Grand County, CO",08049,Data suppressed,Data suppressed
HIV diagnoses,2022,"Grand County, UT",49019,0,0
HIV diagnoses,2022,"Grand Forks County, ND",38035,Data suppressed,Data suppressed
HIV diagnoses,2022,"Grand Isle County, VT",50013,0,0
HIV diagnoses,2022,"Grand Traverse County, MI",26055,Data suppressed,Data suppressed
HIV diagnoses,2022,"Granite County, MT",30039,0,0
HIV diagnoses,2022,"Grant County, AR",05053,Data suppressed,Data suppressed
HIV diagnoses,2022,"Grant County, IN",18053,5,8.9
HIV diagnoses,2022,"Grant County, KS",20067,0,0
HIV diagnoses,2022,"Grant County, KY",21081,0,0
HIV diagnoses,2022,"Grant County, MN",27051,0,0
HIV diagnoses,2022,"Grant County, ND",38037,0,0
HIV diagnoses,2022,"Grant County, NE",31075,0,0
HIV diagnoses,2022,"Grant County, NM",35017,Data suppressed,Data suppressed
HIV diagnoses,2022,"Grant County, OK",40053,0,0
HIV diagnoses,2022,"Grant County, OR",41023,0,0
HIV diagnoses,2022,"Grant County, SD",46051,0,0
HIV diagnoses,2022,"Grant County, WA",53025,6,7.4
HIV diagnoses,2022,"Grant County, WI",55043,Data suppressed,Data suppressed
HIV diagnoses,2022,"Grant County, WV",54023,Data suppressed,Data suppressed
HIV diagnoses,2022,"Grant Parish, LA",22043,Data suppressed,Data suppressed
HIV diagnoses,2022,"Granville County, NC",37077,9,17
HIV diagnoses,2022,"Gratiot County, MI",26057,Data suppressed,Data suppressed
HIV diagnoses,2022,"Graves County, KY",21083,Data suppressed,Data suppressed
HIV diagnoses,2022,"Gray County, KS",20069,0,0
HIV diagnoses,2022,"Gray County, TX",48179,Data suppressed,Data suppressed
HIV diagnoses,2022,"Grays Harbor County, WA",53027,Data suppressed,Data suppressed
HIV diagnoses,2022,"Grayson County, KY",21085,Data suppressed,Data suppressed
HIV diagnoses,2022,"Grayson County, TX",48181,5,4.2
HIV diagnoses,2022,"Grayson County, VA",51077,0,0
HIV diagnoses,2022,"Greater Bridgeport Planning Region, CT",09120,35,12.6
HIV diagnoses,2022,"Greeley County, KS",20071,0,0
HIV diagnoses,2022,"Greeley County, NE",31077,0,0
HIV diagnoses,2022,"Green County, KY",21087,0,0
HIV diagnoses,2022,"Green County, WI",55045,0,0
HIV diagnoses,2022,"Green Lake County, WI",55047,Data suppressed,Data suppressed
HIV diagnoses,2022,"Greenbrier County, WV",54025,Data suppressed,Data suppressed
HIV diagnoses,2022,"Greene County, AL",01063,Data suppressed,Data suppressed
HIV diagnoses,2022,"Greene County, AR",05055,Data suppressed,Data suppressed
HIV diagnoses,2022,"Greene County, GA",13133,Data suppressed,Data suppressed
HIV diagnoses,2022,"Greene County, IA",19073,0,0
HIV diagnoses,2022,"Greene County, IL",17061,Data suppressed,Data suppressed
HIV diagnoses,2022,"Greene County, IN",18055,Data suppressed,Data suppressed
HIV diagnoses,2022,"Greene County, MO",29077,15,5.8
HIV diagnoses,2022,"Greene County, MS",28041,0,0
HIV diagnoses,2022,"Greene County, NC",37079,Data suppressed,Data suppressed
HIV diagnoses,2022,"Greene County, NY",36039,Data suppressed,Data suppressed
HIV diagnoses,2022,"Greene County, OH",39057,14,9.7
HIV diagnoses,2022,"Greene County, PA",42059,0,0
HIV diagnoses,2022,"Greene County, TN",47059,Data suppressed,Data suppressed
HIV diagnoses,2022,"Greene County, VA",51079,Data suppressed,Data suppressed
HIV diagnoses,2022,"Greenlee County, AZ",04011,0,0
HIV diagnoses,2022,"Greensville County, VA",51081,Data suppressed,Data suppressed
HIV diagnoses,2022,"Greenup County, KY",21089,Data suppressed,Data suppressed
HIV diagnoses,2022,"Greenville County, SC",45045,71,15.5
HIV diagnoses,2022,"Greenwood County, KS",20073,0,0
HIV diagnoses,2022,"Greenwood County, SC",45047,11,18.8
HIV diagnoses,2022,"Greer County, OK",40055,0,0
HIV diagnoses,2022,"Gregg County, TX",48183,26,25.3
HIV diagnoses,2022,"Gregory County, SD",46053,0,0
HIV diagnoses,2022,"Grenada County, MS",28043,Data suppressed,Data suppressed
HIV diagnoses,2022,"Griggs County, ND",38039,0,0
HIV diagnoses,2022,"Grimes County, TX",48185,Data suppressed,Data suppressed
HIV diagnoses,2022,"Grundy County, IA",19075,0,0
HIV diagnoses,2022,"Grundy County, IL",17063,Data suppressed,Data suppressed
HIV diagnoses,2022,"Grundy County, MO",29079,0,0
HIV diagnoses,2022,"Grundy County, TN",47061,0,0
HIV diagnoses,2022,"Guadalupe County, NM",35019,0,0
HIV diagnoses,2022,"Guadalupe County, TX",48187,15,9.8
HIV diagnoses,2022,"Guayama Municipio, PR",72057,Data suppressed,Data suppressed
HIV diagnoses,2022,"Guayanilla Municipio, PR",72059,0,0
HIV diagnoses,2022,"Guaynabo Municipio, PR",72061,19,23.6
HIV diagnoses,2022,"Guernsey County, OH",39059,Data suppressed,Data suppressed
HIV diagnoses,2022,"Guilford County, NC",37081,91,19.7
HIV diagnoses,2022,"Gulf County, FL",12045,0,0
HIV diagnoses,2022,"Gunnison County, CO",08051,0,0
HIV diagnoses,2022,"Gurabo Municipio, PR",72063,6,16.9
HIV diagnoses,2022,"Guthrie County, IA",19077,0,0
HIV diagnoses,2022,"Guánica Municipio, PR",72055,0,0
